,A22,read_count,chromosome,start,end,length,rpkm,tpm
94,C1_00510W_A,560,C1,80124,81053,929,68.65718740109234,81.28662338735619
96,C1_00520W_A,408,C1,81233,81901,668,69.56605820950287,82.36268027094845
98,C1_00530C_A,601,C1,82117,84558,2441,28.042736279382346,33.20117571051033
100,C1_00540C_A,857,C1,85080,87248,2168,45.023083916168524,53.30504502974581
102,C1_00550W_A,558,C1,87900,89810,1910,33.27472898219246,39.39558938368033
104,C1_00560W_A,715,C1,90099,91271,1172,69.48517015078707,82.266912917023
106,C1_00570C_A,800,C1,91310,93694,2384,38.22059389718048,45.25124228598628
108,C1_00580W_A,437,C1,93970,94899,929,53.577126596923854,63.432597179061894
110,C1_00590W_A,5929,C1,95214,96494,1280,527.5761762693919,624.6234017426294
112,C1_00600W_A,873,C1,96816,101423,4607,21.58289642875427,25.553053365896407
114,C1_00610W_A,3887,C1,101751,103523,1772,249.8414652739587,295.79960763068476
116,C1_00620W_A,800,C1,103868,104809,941,96.83092013908424,114.64289225270065
118,C1_00630W_A,516,C1,105179,106924,1745,33.6796807013275,39.875031655195066
120,C1_00640C_A,1920,C1,107125,111027,3902,56.0438108770138,66.35302610545851
122,C1_00650C_A,1477,C1,111571,112251,680,247.39178708041766,292.8993130471723
124,C1_00660C_A,839,C1,112788,113801,1013,94.33355703219013,111.68614115327603
126,C1_00670C_A,383,C1,114127,115878,1751,24.913016926675027,29.495746927862697
128,C1_00680W_A,320,C1,117319,119442,2123,17.167761818347294,20.325758193083615
130,C1_00690W_A,335,C1,119767,122808,3041,12.547063100149712,14.855085555442324
132,C1_00700W_A,398,C1,123066,123431,365,124.19494023510121,147.04050246814018
134,C1_00710C_A,2389,C1,123869,125597,1728,157.46575028048915,186.43145202965235
136,C1_00720W_A,3,C1,126521,126612,91,3.754858345503226,4.445561604799091
138,C1_00730C_A,1331,C1,126791,128620,1829,82.8854014335149,98.13210627571912
140,C1_00740C_A,1639,C1,129260,130681,1421,131.37071718823847,155.53625798596758
142,C1_00750C_A,2418,C1,131413,133938,2525,109.07082780565527,129.13432137251255
144,C1_00760W_A,615,C1,134254,134913,659,106.2926895832514,125.8451467944265
146,C1_00770C_A,349,C1,135654,136436,782,50.831434865659396,60.1818375988126
148,C1_00780C_A,329,C1,138574,140931,2357,15.898275209450018,18.8227505142243
150,C1_00790W_A,296,C1,150607,151707,1100,30.64874678620451,36.286559814202526
152,C1_00800C_A,2225,C1,154633,155286,653,388.0882815241274,459.4768177292987
154,C1_00810W_A,248,C1,155443,156324,881,32.0619156796507,37.959680021606474
156,C1_00820W_A,248,C1,156643,157689,1046,27.004347718711536,31.971776385310996
158,C1_00830W_A,483,C1,158725,160524,1799,30.579449483028213,36.20451532624318
160,C1_00840C_A,193,C1,160942,162672,1730,12.706469580360915,15.043814733157314
162,C1_00850W_A,372,C1,167077,167823,746,56.7960074673705,67.2435886709825
164,C1_00860W_A,487,C1,168533,169534,1001,55.41260649272942,65.60571216779266
166,C1_00870W_A,1819,C1,170158,172254,2096,98.84509336399546,117.02757106882775
168,C1_00880W_A,249,C1,174459,176084,1625,17.452581589898994,20.662970339106177
170,C1_00890W_A,442,C1,176325,178475,2150,23.415180212841975,27.72238432065567
172,C1_00900W_A,416,C1,178690,179307,617,76.79304026330098,90.91906002770092
174,C1_00910W_A,160,C1,179823,180829,1006,18.114889831188524,21.447109663974413
176,C1_00920W_A,637,C1,181403,185239,3836,18.913614330360225,22.39275891079153
178,C1_00930C_A,2740,C1,185507,190145,4638,67.28736379673525,79.6648218011072
180,C1_00940W_A,237,C1,190698,191156,458,58.93815861533338,69.7797868491281
182,C1_00950C_A,625,C1,191444,193405,1961,36.30079354079482,42.97829615382429
184,C1_00960C_A,925,C1,194676,197798,3122,33.74601764176105,39.95357122399782
186,C1_00970W_A,68,C1,198221,198746,525,14.75242123299934,17.46611759396621
188,C1_00980W_A,189,C1,198951,199220,269,80.02454607721187,94.74499881157321
190,C1_00990C_A,1138,C1,199316,202249,2933,44.192024155429365,52.321112475256776
192,C1_01000C_A,352,C1,202532,203623,1091,36.747822341325794,43.50755555298641
194,C1_01010W_A,1195,C1,203945,204415,470,289.5901211218073,342.8599976694165
196,C1_01020W_A,1,C1,204985,205057,72,1.5819079140777477,1.8728986390588769
198,C1_01030W_A,870,C1,205265,206284,1019,97.24309297137401,115.13088395549366
200,C1_01040W_A,517,C1,206477,206920,443,132.92311556124173,157.37421882692465
202,C1_01050C_A,999,C1,206917,207855,938,121.30434162450346,143.61818050130796
204,C1_01060W_A,3586,C1,208285,208740,455,897.6614684649711,1062.7855943206362
206,C1_01070C_A,278,C1,209078,210502,1424,22.235582028216434,26.3257999714905
208,C1_01080W_A,224,C1,210872,212377,1505,16.952166669930843,20.070504485542568
210,C1_01090C_A,573,C1,212439,212747,308,211.89348345192067,250.87112419809424
212,C1_01100W_A,4308,C1,213635,220399,6764,72.54137627986096,85.88530577597962
214,C1_01110C_A,1129,C1,220539,222068,1529,84.10080478714976,99.57108212676125
216,C1_01130W_A,3170,C1,224667,226874,2207,163.5952253326258,193.68843922917898
218,C1_01140C_A,3477,C1,227677,229779,2102,188.4020717611226,223.05848567866573
220,C1_01150C_A,759,C1,232865,234934,2069,41.782553740222696,49.46842185949227
222,C1_01160C_A,441,C1,235077,235889,812,61.85805429531607,73.23679505837124
224,C1_01170C_A,446,C1,236084,238300,2216,22.923387606888376,27.140126849033685
226,C1_01180C_A,67,C1,239091,240914,1823,4.186025111086701,4.956041160076808
228,C1_01190C_A,400,C1,241113,242504,1391,32.7526584654487,38.777484403231945
230,C1_01200W_A,736,C1,242741,244663,1922,43.61522590156504,51.63821263319875
232,C1_01210W_A,796,C1,245206,246453,1247,72.70433550250512,86.07824122032265
234,C1_01220C_A,920,C1,246661,247413,752,139.34252689961437,164.9744758660372
236,C1_01240W_A,1095,C1,248816,249865,1049,118.8919160589987,140.76199113765665
238,C1_01250W_A,1140,C1,250103,251977,1874,69.28655367529431,82.03176109602595
240,C1_01260C_A,168,C1,252036,252488,452,42.333535682930176,50.12075650012427
242,C1_01270W_A,801,C1,253158,254441,1283,71.1081786599313,84.18847257350235
244,C1_01280C_A,90,C1,254618,254965,347,29.54110456260463,34.97516766888046
246,C1_01290C_A,553,C1,255170,257443,2273,27.710182801108495,32.80744927970446
248,C1_01300W_A,1317,C1,257921,258904,983,152.59698478586813,180.66708092585853
250,C1_01310W_A,18,C1,258992,259345,353,5.807797894177793,6.876137779660918
252,C1_01320W_A,2738,C1,259647,261173,1526,204.3584525226939,241.950030215931
254,C1_01330C_A,181,C1,261359,261838,479,43.03846333248687,50.95535504011541
256,C1_01340C_A,211,C1,262217,263083,866,27.750975785992082,32.85574610228921
258,C1_01350C_A,9556,C1,263479,264672,1193,912.3246152043092,1080.146015447575
260,C1_01360C_A,1599,C1,265483,267465,1982,91.8879386134929,108.79065313701832
262,C1_01370C_A,1627,C1,269372,270012,640,289.54846982300575,342.81068464673916
264,C1_01380C_A,539,C1,270319,271974,1655,37.09406787282733,43.91749267951473
266,C1_01390C_A,1447,C1,272374,274197,1823,90.4056468021262,107.03569490494242
268,C1_01400C_A,1936,C1,275477,276952,1475,149.49512404008502,176.99463531911522
270,C1_01420C_A,2013,C1,278222,279262,1040,220.45712061035815,261.0100357217667
272,C1_01440C_A,26,C1,280421,280819,398,7.440531696365689,8.809211689241753
274,C1_01450W_A,1873,C1,282437,284137,1700,125.4881021534522,148.57154051113167
276,C1_01460W_A,1095,C1,284639,287617,2978,41.87965747007711,49.5833877445943
278,C1_01470W_A,1782,C1,288033,289328,1295,156.72981699446436,185.56014439058697
280,C1_01480C_A,5079,C1,289699,290448,749,772.3427787493504,914.4146295329273
282,C1_01490W_A,4900,C1,291847,292449,602,927.0716147618429,1097.605714053109
284,C1_01500W_A,3,C1,296046,296504,458,0.7460526407004227,0.8832884411282038
286,C1_01510W_A,1384,C1,299614,301767,2153,73.2159590441335,86.6839775127445
288,C1_01520C_A,1914,C1,305308,306012,704,309.6584741807191,366.6199085957751
290,C1_01530C_A,2312,C1,306618,308486,1868,140.96933565794336,166.90053482457006
292,C1_01540W_A,1209,C1,309122,310972,1850,74.4334703268323,88.1254490447552
294,C1_01550W_A,947,C1,311200,312759,1559,69.18589429985705,81.91258550711382
296,C1_01560W_A,1555,C1,313161,317798,4637,38.19504206602214,45.220990215447884
298,C1_01570C_A,206,C1,317950,318471,521,45.034276740117384,53.318296764916035
300,C1_01580W_A,354,C1,318929,319459,530,76.07484700757288,90.0687556836465
302,C1_01590C_A,3371,C1,319665,323369,3704,103.65767646912482,122.72542507647356
304,C1_01600W_A,562,C1,323650,324531,881,72.65643795146649,86.02153295218886
306,C1_01610C_A,557,C1,324887,325940,1053,60.24770653957645,71.33022509099447
308,C1_01620C_A,461,C1,326428,327426,998,52.61191130668197,62.289831290222686
310,C1_01630W_A,1876,C1,331354,332037,683,312.84255603266405,370.38969981692617
312,C1_01640W_A,522,C1,332721,334077,1356,43.84544767160625,51.91078351798585
314,C1_01650W_A,1418,C1,334643,336025,1382,116.86430564086956,138.36140336711657
316,C1_01660C_A,1,C1,336119,336200,81,1.4061403680691091,1.6647987902745571
318,C1_01670C_A,330,C1,336700,341496,4796,7.836974987174163,9.278580413686178
320,C1_01680C_A,356,C1,341928,342440,512,79.19426494851726,93.76198811788501
322,C1_01690C_A,3324,C1,342930,343901,971,389.90201571616814,461.62418690904514
324,C1_01700W_A,1226,C1,345562,348762,3200,43.636929809834676,51.663908958439116
326,C1_01710W_A,1871,C1,351098,353101,2003,106.39140235708516,125.96201770589086
328,C1_01720C_A,371,C1,353541,353627,86,491.34795582377683,581.7310284481478
330,C1_01730W_A,5,C1,354206,354278,72,7.909539570388739,9.364493195294383
332,C1_01740W_A,9458,C1,357079,359466,2387,451.2950664838744,534.3104414041716
334,C1_01750W_A,942,C1,361029,362930,1901,56.439412080173156,66.82139784088862
336,C1_01760W_A,777,C1,364172,366307,2135,41.45117393216184,49.076084994618164
338,C1_01770W_A,213,C1,366730,367860,1130,21.4691502392003,25.418383653634454
340,C1_01780C_A,4035,C1,367933,369807,1874,245.23793340334436,290.3492596688286
342,C1_01790W_A,818,C1,372225,375440,3215,28.979175274501724,34.30987192721978
344,C1_01800W_A,216,C1,375835,376554,719,34.21673418600436,40.51087570882287
346,C1_01810C_A,1849,C1,376645,378174,1529,137.7346218347563,163.0707979206214
348,C1_01820C_A,547,C1,378463,379650,1187,52.486825010984006,62.14173546815063
350,C1_01830C_A,2297,C1,380212,380784,572,457.38157073747243,541.5165533603379
352,C1_01840C_A,594,C1,381538,382092,554,122.1210066232439,144.58507038857405
354,C1_01850C_A,574,C1,382760,383590,830,78.7675786421749,93.25681319882561
356,C1_01860W_A,603,C1,383753,384670,917,74.89652562442694,88.67368300259562
358,C1_01870C_A,1795,C1,384790,386280,1490,137.21193209087792,162.45195980669072
360,C1_01880C_A,487,C1,386597,388924,2327,23.836707820894777,28.22145160290522
362,C1_01890C_A,3032,C1,389271,390800,1529,225.85796290047656,267.4043587319222
364,C1_01900C_A,731,C1,391247,392764,1517,54.88396660101518,64.97982938098009
366,C1_01910W_A,874,C1,393296,394360,1064,93.55855377545538,110.76857665291071
368,C1_01920W_A,9122,C1,395587,399411,3824,271.69764838902705,321.6762185553465
370,C1_01930W_A,2545,C1,400591,401977,1386,209.14055279625288,247.61179409895277
372,C1_01940C_A,457,C1,402263,402769,506,102.86778261820992,121.79023086876141
374,C1_01950C_A,376,C1,403144,403689,545,78.5787358713996,93.03323294789341
376,C1_01970W_A,8,C1,405749,406027,278,3.27762215290929,3.8805381874025646
378,C1_01980W_A,10363,C1,406673,408310,1637,721.0253166636007,853.6573603865816
380,C1_01990W_A,29,C1,411340,412368,1028,3.213058097854414,3.8040976248588856
382,C1_02000W_A,460,C1,412817,413818,1001,52.340449664590416,61.96843449113886
384,C1_02010C_A,445,C1,414090,416273,2183,23.217741441617516,27.488626841707013
386,C1_02020W_A,124,C1,416452,417075,623,22.66978147172734,26.83987006343122
388,C1_02030C_A,216,C1,417078,417521,443,55.534609209338896,65.75015718881185
390,C1_02040C_A,5592,C1,418019,420493,2474,257.4430444614548,304.7994913712373
392,C1_02050C_A,1691,C1,421264,423846,2582,74.59351369279395,88.31493226285683
394,C1_02060W_A,626,C1,425985,426615,630,113.17421191001942,133.99251977724077
396,C1_02070W_A,26,C1,427843,428838,995,2.9762126785462755,3.5236846756967006
398,C1_02080W_A,318,C1,429371,430510,1139,31.79926567227754,37.64871575056369
400,C1_02090C_A,372,C1,430507,431994,1487,28.493491305082983,33.734846771051075
402,C1_02100W_A,159,C1,432225,433841,1616,11.206486262600283,13.26791065590719
404,C1_02110C_A,4967,C1,434412,436049,1637,345.5884153110205,409.1591343279119
406,C1_02120C_A,8355,C1,442448,444235,1787,532.5195997720257,630.4761641366861
408,C1_02130C_A,3005,C1,449253,450800,1547,221.24214369092536,261.9394631847308
410,C1_02140C_A,11,C1,451280,451624,344,3.642067057992954,4.312022448065786
412,C1_02150W_A,3360,C1,452164,454191,2027,188.79879752032008,223.52818883133864
414,C1_02160W_A,181,C1,454396,454902,506,40.74194453806563,48.236393407540085
416,C1_02170C_A,797,C1,454861,455823,962,94.3619581511824,111.71976663591953
418,C1_02180W_A,1309,C1,456751,457911,1160,128.52729059137894,152.16978528794917
420,C1_02190W_A,183,C1,458366,459304,938,22.22091543271685,26.308435467206568
422,C1_02200C_A,183,C1,459294,460130,836,24.932079755847376,29.51831634956909
424,C1_02210W_A,912,C1,461070,462782,1712,60.674299807243706,71.8352898569872
426,C1_02220C_A,598,C1,462849,463859,1010,67.43626450349655,79.84111267655346
428,C1_02230W_A,805,C1,465637,467649,2012,45.570269731583636,53.95288524843563
430,C1_02240W_A,1344,C1,469116,471743,2627,58.27105634924839,68.98997164234845
432,C1_02250W_A,1199,C1,474919,475644,725,188.36268469862597,223.01185339679267
434,C1_02260C_A,906,C1,475896,477035,1139,90.59790785875299,107.26332223273806
436,C1_02270C_A,1332,C1,477305,478183,878,172.7919095577589,204.57684633291856
438,C1_02280C_A,250,C1,478626,481568,2942,9.678566435553861,11.458931170312638
440,C1_02290C_A,341,C1,482379,483590,1211,32.07184401852755,37.971434670663534
442,C1_02300W_A,69,C1,483698,484063,365,21.53128360859795,25.491946407793147
444,C1_02310C_A,125,C1,484174,484539,365,39.00594856630063,46.181062332958604
446,C1_02320C_A,2236,C1,484846,486477,1631,156.14624089712126,184.8692199260372
448,C1_02330C_A,1073,C1,487350,488196,846,144.4584844089722,171.03150976256808
450,C1_02340C_A,33,C1,488645,488749,104,36.14051157546855,42.78853044619127
452,C1_02350W_A,437,C1,489332,490138,806,61.753288596206275,73.11275779075496
454,C1_02360C_A,64,C1,490252,492177,1925,3.786717749646889,4.483281521445871
456,C1_02370C_A,238,C1,492588,496217,3629,7.469709015055465,8.843756152910695
458,C1_02380C_A,71,C1,498351,498953,602,13.433078499610378,15.904082795463419
460,C1_02390W_A,387,C1,499217,501709,2492,17.687914172496935,20.94159216642718
462,C1_02400C_A,272,C1,502050,503384,1334,23.223451716115903,27.49538751673841
464,C1_02410C_A,322,C1,504151,505224,1073,34.17982579681128,40.467178050271194
466,C1_02420C_A,11106,C1,505969,511662,5693,222.19290165990122,263.0651123393514
468,C1_02430C_A,2068,C1,515594,517525,1931,121.97812572476455,144.41590666044044
470,C1_02440C_A,544,C1,518168,519169,1001,61.898270907689536,73.2844094851729
472,C1_02450C_A,375,C1,520056,520586,530,80.58776166056451,95.41181746148993
474,C1_02460W_A,6060,C1,521288,521950,662,1042.6254698948683,1234.41561056521
476,C1_02470W_A,92,C1,522615,523085,470,22.2948043039383,26.39591613856596
478,C1_02480W_A,586,C1,523976,524734,758,88.05258405114557,104.24978809917167
480,C1_02490C_A,524,C1,524841,526862,2021,29.53103502341676,34.96324584582548
482,C1_02500W_A,306,C1,527100,527726,626,55.675072145305016,65.91645817211688
484,C1_02510W_A,233,C1,528029,528760,731,36.303812813362924,42.981870819222586
486,C1_02520W_A,142,C1,530172,531908,1736,9.316489927149133,11.030250971047211
488,C1_02530C_A,14279,C1,532403,534163,1760,924.0571270274792,1094.0367136549787
490,C1_02540C_A,1,C1,536532,536604,72,1.5819079140777477,1.8728986390588769
492,C1_02560W_A,13,C1,536928,537227,299,4.95205955711295,5.862987044010397
494,C1_02570C_A,198,C1,537385,539079,1694,13.312679588602345,15.761536598833144
496,C1_02580W_A,391,C1,540001,541512,1511,29.47311157982578,34.894667430036726
498,C1_02590C_A,3777,C1,541722,542600,878,489.96624804778935,580.0951566061813
500,C1_02600W_A,491,C1,544056,544805,749,74.66436392319964,88.39881533779628
502,C1_02610W_A,953,C1,545022,549395,4373,24.821448303763717,29.387334328301826
504,C1_02620C_A,1385,C1,549494,550573,1079,146.19819943636054,173.09124401014938
506,C1_02630C_A,375,C1,550937,552376,1439,29.681385462195408,35.141253130361136
508,C1_02640C_A,816,C1,552858,553373,515,180.4665121706715,213.66318610094586
510,C1_02650W_A,1503,C1,553758,554360,602,284.3650279565408,336.6737526983312
512,C1_02660C_A,442,C1,554577,555404,827,60.87380587377297,72.07149490859696
514,C1_02670C_A,44,C1,555675,558101,2426,2.0657396009061437,2.4457307867017812
516,C1_02680C_A,210,C1,558921,561449,2528,9.461411258249822,11.20183046778885
518,C1_02690C_A,15,C1,562357,562659,302,5.657154129814462,6.697783212528433
520,C1_02700C_A,3773,C1,564255,564428,173,2484.0160480156337,2940.9488594923596
522,C1_02710W_A,4264,C1,565683,567173,1490,325.94522475515515,385.902594214891
524,C1_02720W_A,489,C1,567442,568635,1193,46.68551034270691,55.273273498730035
526,C1_02730W_A,254,C1,574220,575107,887,32.61548132204493,38.6150736314642
528,C1_02740C_A,161,C1,575478,576398,920,19.932039717379624,23.598522852141844
530,C1_02750C_A,1228,C1,576658,579045,2387,58.59487646883039,69.37335821995376
532,C1_02760W_A,1719,C1,579750,580802,1052,186.1117668341965,220.34688094965688
534,C1_02770W_A,329,C1,581212,581508,296,126.59538739416789,149.88251000684684
536,C1_02780W_A,1091,C1,581844,582602,758,163.93407713276417,194.08962255323598
538,C1_02790W_A,1767,C1,582899,583951,1052,191.30860500059637,226.49967343690736
540,C1_02800W_A,71,C1,584332,584934,602,13.433078499610378,15.904082795463419
542,C1_02810W_A,2919,C1,585914,588472,2558,129.9712363119203,153.879343695749
544,C1_02820W_A,3140,C1,588902,593116,4214,84.86894665749814,100.48052309407471
546,C1_02830W_A,575,C1,593697,595466,1769,37.02147407734243,43.8315453120619
548,C1_02840W_A,1048,C1,598018,599733,1715,69.6002586382802,82.40317184188142
550,C1_02850W_A,1305,C1,600683,602722,2039,72.89655105774654,86.30581467678864
552,C1_02860C_A,1242,C1,603130,603732,602,234.98427459881813,278.2094483375432
554,C1_02870W_A,473,C1,604676,605542,866,62.20953339703438,73.65292846626917
556,C1_02880C_A,995,C1,605725,606483,758,149.50908042813964,177.0111589738495
558,C1_02890C_A,297,C1,607149,607523,374,90.447911322563,107.08573395089577
560,C1_02900C_A,425,C1,607807,609984,2177,22.235361585107526,26.325538978043923
562,C1_02910C_A,280,C1,610205,611635,1430,22.30158290056461,26.403941652746123
564,C1_02920W_A,653,C1,611934,613046,1112,66.88397705780521,79.18723238668358
566,C1_02930C_A,316,C1,613106,614473,1367,26.32887261236058,31.172048160839477
568,C1_02940C_A,515,C1,614701,615219,518,113.23773253668512,134.0677249735582
570,C1_02950W_A,120,C1,615467,615844,377,36.25380471520356,42.92266377047399
572,C1_02960C_A,1382,C1,615939,617726,1787,88.08403194314059,104.28702080633153
574,C1_02970W_A,1737,C1,618379,619644,1265,156.39504455827623,185.16379082629197
576,C1_02980W_A,668,C1,620103,621131,1028,74.01113135747408,87.62542115192193
578,C1_02990C_A,1492,C1,622222,623538,1316,129.12984480386626,152.88317887709786
580,C1_03000W_A,437,C1,628046,629806,1760,28.28019920939901,33.48231976099346
582,C1_03010W_A,1276,C1,630193,630513,320,454.16576213172146,537.7091992738035
584,C1_03020C_A,5360,C1,631014,631622,608,1004.0952338830335,1188.7977677394763
586,C1_03030W_A,2752,C1,632083,632838,755,415.1596844066506,491.52798402341995
588,C1_03040W_A,214,C1,633766,634524,758,32.15572182072551,38.07074172904904
590,C1_03050W_A,1104,C1,635104,638259,3155,39.85505428659652,47.186360387167035
592,C1_03060C_A,234,C1,638337,638966,629,42.37199449345294,50.16628977879802
594,C1_03070C_A,1144,C1,639143,641560,2417,53.90922261760692,63.825782003310536
596,C1_03080C_A,250,C1,641962,642642,680,41.87403301970509,49.576728680970255
598,C1_03090W_A,6437,C1,643226,643996,770,952.1524279092588,1127.3001231854328
600,C1_03100W_A,4004,C1,645104,649550,4446,102.57423948125185,121.44269070108083
602,C1_03110W_A,3118,C1,650064,650956,892,398.1300438103117,471.36575434323044
604,C1_03120W_A,1658,C1,651902,653134,1232,153.28071359654643,181.4765811171205
606,C1_03130C_A,2001,C1,653447,655201,1754,129.93650912030176,153.83822846436172
608,C1_03140W_A,268,C1,655798,656274,476,64.12709056731978,75.92321878000017
610,C1_03150C_A,1182,C1,656446,657201,755,178.31349817175183,211.1141268588962
612,C1_03160C_A,1825,C1,657572,658543,971,214.07075170938833,253.4488992506039
614,C1_03170C_A,233,C1,658804,660771,1967,13.491655905728672,15.973435469675502
616,C1_03180W_A,102,C1,660929,661792,863,13.461798054446094,15.938085289974959
618,C1_03190C_A,16209,C1,662177,664336,2159,855.100725941921,1012.3958364596497
620,C1_03200C_A,914,C1,668763,671960,3197,32.56246356259882,38.552303296586345
622,C1_03210C_A,2585,C1,672483,673838,1355,217.28760219051694,257.25748686467756
624,C1_03220C_A,8414,C1,675074,675868,794,1206.9678458584538,1428.9886382002264
626,C1_03230C_A,1319,C1,677396,679090,1694,88.68396150185097,104.9973069386915
628,C1_03240W_A,469,C1,679785,680210,425,125.68909751194678,148.80950880880036
630,C1_03250C_A,391,C1,680242,681462,1220,36.50317344025964,43.21790367769302
632,C1_03260W_A,518,C1,681644,683680,2036,28.977818056701217,34.308265050265156
634,C1_03270W_A,398,C1,683901,685105,1204,37.65045945665444,44.57623206052423
636,C1_03280W_A,1517,C1,685412,686344,932,185.38874464294844,219.49085939116605
638,C1_03290W_A,1029,C1,686628,688511,1883,62.24131361560923,73.6905546312236
640,C1_03300C_A,933,C1,688617,690020,1403,75.74215683256364,89.67486741084754
642,C1_03310W_A,952,C1,690480,691616,1136,95.44920428040945,113.00701084124263
644,C1_03320C_A,1810,C1,691821,693329,1508,136.70705528024672,161.85421130116234
646,C1_03330C_A,745,C1,694143,695732,1589,53.400591888691245,63.22358904916183
648,C1_03340C_A,683,C1,696019,696900,881,88.29955003710253,104.54218328531137
650,C1_03350C_A,1640,C1,697530,699398,1868,99.99554951515015,118.38965273023135
652,C1_03360W_A,1677,C1,701716,705948,4232,45.13371672433922,53.43602865655128
654,C1_03370W_A,5468,C1,706488,708377,1889,329.6933923455548,390.34023430541214
656,C1_03380W_A,4289,C1,709461,712127,2666,183.2354910467071,216.9415164780546
658,C1_03390W_A,3202,C1,712967,714244,1277,285.59074247700886,338.1249364472902
660,C1_03400W_A,983,C1,715541,717490,1949,57.445415354934156,68.01245463213498
662,C1_03410W_A,100,C1,717686,718510,824,13.822496336601679,16.365133739349407
664,C1_03420W_A,3,C1,719205,719309,104,3.2855010523153227,3.8898664041992057
666,C1_03430W_A,358,C1,719613,720668,1055,38.649534022055,45.75908561173612
668,C1_03440C_A,769,C1,721115,722551,1436,60.99378648095874,72.21354585474364
670,C1_03450C_A,1374,C1,723114,726743,3629,43.1234461625471,51.055970395375184
672,C1_03460C_A,235,C1,727114,730086,2972,9.006016792124997,10.662666545382299
674,C1_03470C_A,41,C1,731029,732438,1409,3.314259873923003,3.923915388574737
676,C1_03480C_A,1630,C1,732768,735644,2876,64.55240361479989,76.42676783030244
